ts,revenue,weeknum,month,season,holiday
2011-08-07,1,7,8,3,1
2011-08-08,39878.3,1,8,3,0
2011-08-09,47517.99,2,8,3,0
2011-08-10,41157.4,3,8,3,0
2011-08-11,40644.91,4,8,3,0
2011-08-12,38222.12,5,8,3,0
2011-08-13,1,6,8,3,1
2011-08-14,1,7,8,3,1
2011-08-15,40979.43,1,8,3,0
2011-08-16,41507.44,2,8,3,0
2011-08-17,39162.8,3,8,3,0
2011-08-18,38631.72,4,8,3,0
2011-08-19,36982.38,5,8,3,0
2011-08-20,1,6,8,3,1
2011-08-21,1,7,8,3,1
2011-08-22,40238.68,1,8,3,0
2011-08-23,42954.3,2,8,3,0
2011-08-24,40213.35,3,8,3,0
2011-08-25,41316.23,4,8,3,0
2011-08-26,38550.23,5,8,3,0
2011-08-27,1,6,8,3,1
2011-08-28,1,7,8,3,1
2011-08-29,39619.08,1,8,3,0
2011-08-30,52654.47,2,8,3,0
2011-08-31,37560.19,3,8,3,0
2011-09-01,35088.68,4,9,3,0
2011-09-02,34156.9,5,9,3,0
2011-09-03,1,6,9,3,1
2011-09-04,1,7,9,3,1
2011-09-05,39683.57,1,9,3,0
2011-09-06,38644.05,2,9,3,0
2011-09-07,40387.22,3,9,3,0
2011-09-08,39280.23,4,9,3,0
2011-09-09,34553.49,5,9,3,0
2011-09-10,1,6,9,3,1
2011-09-11,1,7,9,3,1
2011-09-12,1,1,9,3,1
2011-09-13,37336.1,2,9,3,0
2011-09-14,36994.18,3,9,3,0
2011-09-15,35783.14,4,9,3,0
2011-09-16,33627.89,5,9,3,0
2011-09-17,1,6,9,3,1
2011-09-18,1,7,9,3,1
2011-09-19,37595.65,1,9,3,0
2011-09-20,39105.29,2,9,3,0
2011-09-21,38917.62,3,9,3,0
2011-09-22,38581,4,9,3,0
2011-09-23,37050.63,5,9,3,0
2011-09-24,1,6,9,3,1
2011-09-25,1,7,9,3,1
2011-09-26,36816.73,1,9,3,0
2011-09-27,39292.81,2,9,3,0
2011-09-28,37374.57,3,9,3,0
2011-09-29,34683.77,4,9,3,0
2011-09-30,28995.46,5,9,3,0
2011-10-01,1,6,10,4,1
2011-10-02,1,7,10,4,1
2011-10-03,1,1,10,4,1
2011-10-04,1,2,10,4,1
2011-10-05,1,3,10,4,1
2011-10-06,1,4,10,4,1
2011-10-07,1,5,10,4,1
2011-10-08,31391.27,6,10,4,0
2011-10-09,36698.27,7,10,4,0
2011-10-10,39820.66,1,10,4,0
2011-10-11,39166.59,2,10,4,0
2011-10-12,39610.43,3,10,4,0
2011-10-13,37127.49,4,10,4,0
2011-10-14,39144.25,5,10,4,0
2011-10-15,1,6,10,4,1
2011-10-16,1,7,10,4,1
2011-10-17,34544.14,1,10,4,0
2011-10-18,33187.59,2,10,4,0
2011-10-19,39463.2,3,10,4,0
2011-10-20,41420.22,4,10,4,0
2011-10-21,39682.75,5,10,4,0
2011-10-22,1,6,10,4,1
2011-10-23,1,7,10,4,1
2011-10-24,40075.13,1,10,4,0
2011-10-25,41783.88,2,10,4,0
2011-10-26,39338.69,3,10,4,0
2011-10-27,42122.53,4,10,4,0
2011-10-28,35228.1,5,10,4,0
2011-10-29,1,6,10,4,1
2011-10-30,1,7,10,4,1
